model,description,scope,metric,horizon_years,horizon_days,n,n_events,estimate,ci_lo,ci_hi,n_parameters,identified_parameters,penalizer,p_two_sided
M1_klg,M1 = M0 + inferred contralateral KLG (protocol Table 7),klg_eligible_val,km_observed_risk,0.999,365.0,359,52,0.1016608937650274,0.07118953352126955,0.13457531239102152,14.0,13.0,0.001,
M1_klg,M1 = M0 + inferred contralateral KLG (protocol Table 7),klg_eligible_val,calibration_in_the_large_risk_diff,0.999,365.0,359,52,0.003521360815168101,-0.026259932433188343,0.037074980141786715,14.0,13.0,0.001,
M1_klg,M1 = M0 + inferred contralateral KLG (protocol Table 7),klg_eligible_val,ipcw_cd_auroc,1.999,730.0,359,52,0.6746221145506839,0.5819217282554091,0.7529866257181699,14.0,13.0,0.001,
M1_klg,M1 = M0 + inferred contralateral KLG (protocol Table 7),klg_eligible_val,calibration_slope,1.999,730.0,359,52,0.8777252496968937,0.41939725378900083,1.3600143602808474,14.0,13.0,0.001,
M1_klg,M1 = M0 + inferred contralateral KLG (protocol Table 7),klg_eligible_val,mean_predicted_risk,1.999,730.0,359,52,0.13869778683848846,0.12948132637761892,0.1492201649228477,14.0,13.0,0.001,
M1_klg,M1 = M0 + inferred contralateral KLG (protocol Table 7),klg_eligible_val,km_observed_risk,1.999,730.0,359,52,0.15122066795127853,0.11471998978986771,0.19517126396170092,14.0,13.0,0.001,
M1_klg,M1 = M0 + inferred contralateral KLG (protocol Table 7),klg_eligible_val,calibration_in_the_large_risk_diff,1.999,730.0,359,52,0.012522881112790069,-0.023132409877679228,0.0563913884626286,14.0,13.0,0.001,
M1_klg,M1 = M0 + inferred contralateral KLG (protocol Table 7),klg_eligible_val,ipcw_cd_auroc,4.997,1825.0,359,52,0.722376032998132,0.6251984667465774,0.8066121419914047,14.0,13.0,0.001,
M1_klg,M1 = M0 + inferred contralateral KLG (protocol Table 7),klg_eligible_val,calibration_slope,4.997,1825.0,359,52,1.0577712782262516,0.5530448081376234,1.6839949959333476,14.0,13.0,0.001,
M1_klg,M1 = M0 + inferred contralateral KLG (protocol Table 7),klg_eligible_val,mean_predicted_risk,4.997,1825.0,359,52,0.20859747976288082,0.19558923109282605,0.22344793692487622,14.0,13.0,0.001,
M1_klg,M1 = M0 + inferred contralateral KLG (protocol Table 7),klg_eligible_val,km_observed_risk,4.997,1825.0,359,52,0.19956150282017637,0.14682876958209987,0.25549083171167497,14.0,13.0,0.001,
M1_klg,M1 = M0 + inferred contralateral KLG (protocol Table 7),klg_eligible_val,calibration_in_the_large_risk_diff,4.997,1825.0,359,52,-0.009035976942704443,-0.060147432820429184,0.04402271520393454,14.0,13.0,0.001,
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,cindex,,,359,52,0.07948063644551184,0.007622147352310193,0.14611585535250424,,,,0.032
paired_diff:M1_klg-M0_refit_eligible,paired patient-level bootstrap difference vs M0_refit_eligible on the same eligible validation patients (500 valid replicates),klg_eligible_val,ipcw_cd_auroc,0.999,365.0,359,52,0.08891665940333682,-0.004578031072349069,0.17624026218441913,,,,0.064
